未找到数据,今天,580,12,机电工程师,6000-10000元/月,高薪诚聘数控车床调机,五险一金 包吃 包住 加班补助 房补,招5人 学历不限 经验不限,西安 陕西省西安市经济技术开发区草滩六路268号 查看地图,岗位职责：1、机械设备的设计，包括结构设计、部件选型、设计图纸输出；2、参与产品的试制、调试、转产工作；3、解决产品生产组装过程中的技术问题；4、编写相关技术文档。任职资格：1、机械或机电一体化专业大专及以上学历；英语熟练；2、3年以上相关设计工作经历；3、精通电气控制理论；了解控制单元器件以及机械传动，液压、气动相关知识；精通Pro-E、Auto、CAD等相关技术软件和办公软件；4、工作认真负责，严谨细致，有良好的团队精神和沟通能力。工作时间：
未找到数据,今天,713,18,保洁,2600-2800元/月,急招保洁,未找到数据,招1人 学历不限 经验不限,西安 - 曲江新区 - 曲江三小 西安曲江新区曲江新区芙蓉西路569号曲江壹街D栋116117莎蔓莉莎西安曲江店 查看地图,工作内容：打扫工作区域卫生职位要求：工作认真仔细，按要求完成本职工作工作时间：早晨9点下午6点 月休4天
西安新途汽车科技有限公司,今天,497,34,商务司机,8000-13000元/月,诚聘高薪网约车司机,加班补助 交通补助,招19人 学历不限 经验不限,西安 - 新城 - 华清路 西安新城西安市新城区华清路 查看地图,工作内容:1、收入稳定，日均流水在400-800日;收入至少上万2、公司提供专业岗前服务培训、提供车辆保险、保养、维修、应急救接。任职要求:1、年龄22-55周岁2、持C1驾驶证，驾龄满3年且无一次性扣满12分记录3、无刑事犯罪记录，无酒驾类记录工作时间时间地点可以自行安排，轻松赚钱，合法运营，无后顾之忧!4、福利待遇综合收入8000-16000，高额提成，多劳多得，上不封顶
未找到数据,今天,5046,427,店员/营业员,6000-9000元/月,诚聘大明宫万达女装导购,饭补 加班补助 员工聚餐 妆补 节假日三薪,招5人 高中 1-2年,西安 - 经开区 - 百花村 西安经开区太华北路369号万达广场大明宫店 查看地图,岗位职责：1、按照公司要求负责到店顾客的接待与销售工作；2、店面货品陈列保管，确保货品安全、无损伤，保持店面整洁；3、负责顾客资料整理、跟踪等，建立与顾客的长期、良好关系；4、服从公司安排，严格遵守公司的各项规章制度；任职要求：1、18-38岁，形象气质佳；2、语言表达能力较强；3、有一定的审美和时尚洞察力；
未找到数据,今天,1,0,普工/操作工,5500-6500元/月,吉利招正式工数名待遇好,五险一金 房补 饭补 加班补助 包吃 包住 年底双薪 周末双休 交通补助 话补,招20人 学历不限 经验不限,西安 - 高陵 - 泾渭新城 西安高陵西安市高陵区吉利产业园C区 查看地图,【招聘岗位】普工、操作工【应聘要求】45岁以下，能吃苦耐劳，服从管理、踏实，无犯罪记录，有工厂工作经验。【薪资福利】综合工资5500元—6500元 纯计件【时间安排】（1）8:00 —8：00，适应两班倒（2）上六休一，月休3-4天【薪资待遇】提供住宿，入职一星期后缴纳五险一金，吃饭每天20元餐补，住宿押金200元，生日福利、节假日福利、生产技能培训、内部提升机会！每月25-30号发放薪资！室内工作，工作稳定
陕西方方通汽车服务有限公司（陕西金蚁物流服务有限公司）,今天,41,4,面包车司机,7000-11000元/月,急招司机-急急急急！！,A1 A2 A3 B1 B2 C1 五险一金 房补 加班补助 饭补 工作就近安排,招10人 学历不限 经验不限,西安 - 长安 - 西沣路 西安长安信息大道28号西安出口加工区B区 查看地图,岗位职责：1、司机负责开车，西安市内短途配送2、货多、活多 ，入职签合同工作内容：1、只开车 不装不卸2、配送生活必需品 快消品 服装 口罩 烟酒 茶叶（吃的用的等等）3、公司提供车辆，货源，线路，司机师傅负责开车送货任职资格：1、年龄21-55 身体健康，C1及以上驾照2、只要踏实肯干，不怕吃苦，公司长期提供货源服务3、工作地点根据在西安的住址就近安排
未找到数据,今天,5787,389,护工/护理,8000-16000元/月,急招西京唐都医院护工8千,求职保障包吃 包住 年底双薪 周末双休 交通补助 加班补助 饭补 话补 房补 五险一金 时间自由 灵活就业 就近安排,招8人 学历不限 经验不限,西安 - 雁塔 - 北山门 西安雁塔电子西街2号融侨紫薇馨苑 查看地图,高薪招聘养老护工名企就业 免费试听 零基础速成 就业 小班授课 面对面 授课 高薪就业培训形式：线下授课，直播授课，录播课程培训地点：西安高新区科技路新海岸商务中心课程介绍：课程介绍《高级母婴护理师课程》1、产褥期护理理论+实操2、新生儿护理理论+实操3、月子餐营养搭配理论+实操《高级育婴师》1、育儿知识理论+实操2、新生儿常见疾病护理《高级养老护理员》1、中老年营养搭配2、中老年保健康复训练《高级催乳师》1、乳腺护理理论+实操手法2、乳腺疾病预防护理《高级家政服务员》1、家政服务人员职业素养2、家政服务营养搭配《高级产后修复课程》1、产后修复理论2、产后修复实操手法《高级早教师》1、婴幼儿情绪管理2、儿歌、保健操3、婴幼儿辅食营养《高级小儿推拿师》1、婴幼儿常见疾病理论2、保健推拿手法实操《高级营养师》1、营养知识理论基础2、人体营养供需理论《高级收纳师》1、房屋空间规划2、基础陈列课程优势1、师资优势：所有老师具有医护背景经验，课程简单易学。证书保证。专业教研团队结合市场需求不断做课程研发，确保课程为新课程2、终身免费复训，含新升级课程3、100% ，毕业及就业4、培训后办理由全国通用人力资源职业证书，证书全国通用5、证书全网可查，以后全国就业均可通用食宿保障1、公司自建食堂宿舍，培训期到上岗全程包吃住2、保证大家基本的生活所需四：就业收入保证1、培训合格后公司 ，无需自己找工作2、公司对接陕西省各大医院（西北妇女儿童医院、西电医院、唐都医院、凤城医院、交大附属医院、陕西省省人民医院、高新国际医医学中心、高新医院、第四医院等），长期需求大量陪护、陪产、护工等，3、订单量充足，时刻有单可接4、收入保障，高级月嫂在15000+；高级育儿嫂收入8000+；高级家政服务员收入7000+，高级养老护理人员8000+；5、所有课程就业灵活，时间自由五：权威保障1证书由国家人力资源颁发，全网可查！2公司目前已经与陕西各大医院签订渠道合作关系3自建品牌运营中心品牌优势：“金喜孕”为公司的品牌名，现有“西安金喜孕母婴服务有限公司”；“西安金喜孕健康管理有限公司”；“陕西喜娃娃家政服务有限公司”，公司专注于母婴健康服务产业链，公司目前年产值4000万以上，伴随国家政策红利（放开三胎、消费升级等众多利好因素）以每年不低于20%的增速持续増长中，每年直接、间接解决就业6000人以上。服务客户8000以上，金喜孕致力于成为国内专业的母婴健康服务品牌；长期致力于市场动态调研，始终以市场动态需求及科学健康服务为课程研发的主体，金喜孕自成立以来累计通过技能提升培训、新学员招生培训超过10000人次。同时金喜孕培训中心致力于以就业为目的的培训，以培养当前市场需要的合格家政服务员为核心，从而推动行业发展。
未找到数据,今天,8610,991,商务司机,薪资面议,急招c1驾照司机高薪,加班补助,招1人 学历不限 3-5年，可接收应届生,西安 - 莲湖 - 北大街 西安市莲湖区北大街159号 查看地图,岗位职责：负责医院后勤，有小车驾照。任职资格：1、C1驾照以上；2、精明干练，能适应出差；3、有团队管理经验优先。4、年龄25-40岁
西安海扬圣运供应链有限公司,今天,7144,494,货运司机,9000-11500元/月,市内高薪招C1司机,年底双薪 加班补助 交通补助 饭补 房补 五险一金 包住 包吃 周末双休 话补,招15人 学历不限 经验不限,西安 - 莲湖 - 枣园 西安莲湖枣园西路262号西安亚欧物流中心 查看地图,没及时回复消息，您可以投递简历或者预留联系方式，稍后与你联系由于我司工作需要，现面向社会招聘司机若干名，具体要求如下：工作内容：主要是在西安市配送百货日用品等生活物资。司机清点好货物跟仓库对接好具体要求：1、年龄22-55岁，身体健康，思想品德好;2、为人诚实，品德优良;工作认真细心，责任心强，吃苦耐劳，3、司机要求无不良记录，身体健康，有C1或C1以上驾照，具有安全意识，胜任司机岗位工作。4、有相关工作经验者优先。5、每月15号按时发放工资，手头紧张可以预支工资，无拖欠职位要求：6、工作时间：早八晚六 月休四天 缴纳社保 五险没及时回复消息，您可以投递简历或者预留联系方式，稍后与你联系
未找到数据,今天,4385,297,护士,薪资面议,包吃住诚聘输液护士,包吃 包住 年底双薪 话补 交通补助 饭补 加班补助,招10人 学历不限 经验不限,西安 - 莲湖 - 西关正街 西安莲湖西安市莲湖区西关正街379号 查看地图,主要职责：门诊输液治疗观察病人的病情转化情况，配合医生做好对病人的治疗工作。应届毕业生，护理专业。身高在1米58以上，普通话标准。有工作经验者优先。医院提供输液室护士若干名，年龄35岁以下，有证件及工作经验者优先。
